Protein,Priority Fun_GO
YGL144C,0.143518519
YOR159C,0.143518519
YGR109C,0.143518519
YGR145W,0.143518519
YBR081C,0.143518519
YNR017W,0.143518519
YLR187W,0.143518519
YNL218W,0.143518519
YKL198C,0.143518519
YGR159C,0.143518519
YPR190C,0.143518519
YDR443C,0.143518519
YHR205W,0.143518519
YLR081W,0.143518519
YGR020C,0.143518519
YOR208W,0.143518519
YBL058W,0.143518519
YNL216W,0.143518519
YIL132C,0.143518519
YGL134W,0.143518519
YBR239C,0.143518519
YML041C,0.143518519
R0020C,0.143518519
YGL220W,0.143518519
YKL205W,0.143518519
YPL248C,0.143518519
YOR315W,0.143518519
YDR264C,0.143518519
YMR092C,0.143518519
YNR012W,0.143518519
YOR227W,0.143518519
YER077C,0.143518519
YHR088W,0.143518519
YDR432W,0.143518519
YKR014C,0.143518519
YER090W,0.143518519
YOL036W,0.143518519
YLR190W,0.143518519
YNL199C,0.143518519
YBR094W,0.143518519
YDR243C,0.143518519
YBR110W,0.143518519
YDR201W,0.143518519
YCR087C-A,0.143518519
YFR013W,0.143518519
YBR102C,0.143518519
YGR037C,0.143518519
YJL143W,0.143518519
YAL031C,0.143518519
YDR141C,0.143518519
YLR275W,0.143518519
YOR254C,0.143518519
YBL023C,0.143518519
YOR016C,0.143518519
YDR463W,0.143518519
YOR127W,0.143518519
YKR027W,0.143518519
YDR522C,0.143518519
YLR206W,0.143518519
YHR061C,0.143518519
YAL047C,0.143518519
YLR035C,0.143518519
YKL116C,0.143518519
YKL042W,0.143518519
YDR409W,0.143518519
YMR052W,0.143518519
YEL002C,0.143518519
YIL016W,0.143518519
YLL040C,0.143518519
YNL239W,0.143518519
YAL059W,0.143518519
YOR358W,0.143518519
YPR107C,0.143518519
YLR324W,0.143518519
YJR131W,0.143518519
YER093C,0.143518519
YOR349W,0.143518519
YHR178W,0.143518519
YDL127W,0.143518519
YBL041W,0.143518519
YGR048W,0.143518519
YCR053W,0.143518519
YOR201C,0.143518519
YPR106W,0.143518519
YBR084W,0.143518519
YLR215C,0.143518519
YGL121C,0.143518519
YEL063C,0.143518519
YLL024C,0.143518519
YDR194C,0.143518519
YGR080W,0.143518519
YKL001C,0.143518519
YHR041C,0.143518519
YER111C,0.143518519
YER127W,0.143518519
YPL028W,0.143518519
YLR005W,0.143518519
YOR036W,0.143518519
YCL034W,0.143518519
YOR185C,0.143518519
YNL148C,0.143518519
YHR005C,0.143518519
YAR031W,0.143518519
YNR069C,0.143518519
YPL174C,0.143518519
YPL110C,0.143518519
YLL010C,0.143518519
YDL226C,0.143518519
YGR142W,0.143518519
YDR412W,0.143518519
YBR036C,0.143518519
YPR074C,0.143518519
YHL035C,0.143518519
YGL215W,0.143518519
YPL082C,0.143518519
YIL008W,0.143518519
YLR100W,0.143518519
YHR038W,0.143518519
YKL213C,0.143518519
YML049C,0.143518519
YGR204W,0.143518519
YGR066C,0.143518519
YML091C,0.143518519
YLR009W,0.143518519
YPR003C,0.143518519
YDR321W,0.143518519
YPR055W,0.143518519
YOR355W,0.143518519
YDL148C,0.143518519
YKL154W,0.143518519
YMR236W,0.143518519
YJL180C,0.143518519
YOR290C,0.143518519
YDL051W,0.143518519
YMR005W,0.143518519
YCL025C,0.143518519
YNL262W,0.143518519
YOL005C,0.143518519
YKR021W,0.143518519
YNL086W,0.143518519
YPR183W,0.143518519
YGR203W,0.143518519
YJR133W,0.143518519
YMR024W,0.143518519
YDR100W,0.143518519
YJL011C,0.143518519
YGR229C,0.143518519
YDR395W,0.143518519
YNL079C,0.143518519
YDL165W,0.143518519
YNL172W,0.143518519
YFR009W,0.143518519
YDR318W,0.143518519
YBL079W,0.143518519
YDR158W,0.143518519
YCR008W,0.143518519
YGR253C,0.143518519
YDL195W,0.143518519
YBR271W,0.143518519
YBL066C,0.143518519
YPL264C,0.143518519
YFR002W,0.143518519
YOL021C,0.143518519
YGR270W,0.143518519
YDR240C,0.143518519
YBR120C,0.143518519
YOL102C,0.143518519
YPL217C,0.143518519
YPL181W,0.143518519
YMR275C,0.143518519
YOR110W,0.143518519
YDL171C,0.143518519
YBR045C,0.143518519
YIL062C,0.143518519
YJR112W,0.143518519
YDR071C,0.143518519
YGL097W,0.143518519
YGR284C,0.143518519
YDR280W,0.143518519
YPL084W,0.143518519
YLR452C,0.143518519
YHL023C,0.143518519
YIL050W,0.143518519
YER107C,0.143518519
YBR281C,0.143518519
YGL240W,0.143518519
YFR049W,0.143518519
YCL029C,0.143518519
YEL009C,0.143518519
YBR225W,0.143518519
YCL051W,0.143518519
